###Format is name, language as an iteger (from megamek's masterancestry.txt file)
Bressler, 1
Bretherton, 1
Breton, 1
Brett, 1
Bretton, 1
Bretz, 1
Breuer, 1
Breunig, 1
Brew, 1
Brewer, 1
Brewin, 1
Brewington, 1
Brewis, 1
Brewster, 1
Brewton, 1
Brey, 1
Brian, 1
Brice, 1
Brick, 1
Brickell, 1
Bricker, 1
Brickey, 1
Briddon, 1
Bridge, 1
Bridgeman, 1
Bridgers, 1
Bridges, 1
Bridgewater, 1
Bridgman, 1
Bridwell, 1
Brien, 1
Brierley, 1
Brieve, 1
Brigdell, 1
Brigg, 1
Briggs, 1
Brigham, 1
Bright, 1
Brightman, 1
Brigman, 1
Brigsticke, 1
Brigstocke, 1
Briley, 1
Brill, 1
Brim, 1
Brimacombe, 1
Brimble, 1
Brimmer, 1
Brin, 1
Brindle, 1
Brindley, 1
Brine, 1
Brink, 1
Brinker, 1
Brinkerhoff, 1
Brinkler, 1
Brinkley, 1
Brinklow, 1
Brinkman, 1
Brinkworth, 1
Brinn, 1
Brinson, 1
Brinton, 1
Brisbane, 1
Brisben, 1
Brisbourne, 1
Brisco, 1
Briscoe, 1
Brisley, 1
Brisson, 1
Brister, 1
Bristow, 1
Briton, 1
Britt, 1
Brittain, 1
Brittany, 1
Britten, 1
Brittingham, 1
Britton, 1
Broad, 1
Broadbent, 1
Broadberry, 1
Broadbridge, 1
Broaddus, 1
Broadhead, 1
Broadhurst, 1
Broadley, 1
Broadus, 1
Broadwater, 1
Broadway, 1
Brock, 1
Brockington, 1
Brocklehurst, 1
Brockman, 1
Brockmann, 1
Brocksopp, 1
Brockway, 1
Brode, 1
Broden, 1
Broderick, 1
Brodeur, 1
Brodie, 1
Brodrick, 1
Brodsky, 1
Brody, 1
Brogan, 1
Brogdon, 1
Brokaw, 1
Bromage, 1
Bromflete, 1
Bromhead, 1
Bromley, 1
Bromwich, 1
Bronson, 1
Brook, 1
Brooke, 1
Brooker, 1
Brookins, 1
Brooks, 1
Brookshire, 1
Broom, 1
Broome, 1
Broomfield, 1
Broomhead, 1
Brophy, 1
Broster, 1
Brothers, 1
Brotherton, 1
Brough, 1
Broughall, 1
Brougham, 1
Broughman, 1
Broughton, 1
Broun, 1
Brousseau, 1
Brouthers, 1
Browder, 1
Brower, 1
Brown, 1
Browne, 1
Brownell, 1
Brownfield, 1
Browning, 1
Brownlee, 1
Brownlow, 1
Broyles, 1
Brubaker, 1
Bruce, 1
Brudenell, 1
Bruder, 1
Bruggeman, 1
Bruhn, 1
Brumbach, 1
Brumback, 1
Brumbaugh, 1
Brumby, 1
Brumfield, 1
Brumley, 1
Brummett, 1
Brundage, 1
Brune, 1
Brunelle, 1
Bruner, 1
Brunet, 1
Brunette, 1
Brunner, 1
Bruns, 1
Brunskill, 1
Brunson, 1
Brunt, 1
Brunton, 1
Brush, 1
Brust, 1
Bruton, 1
Bryan, 1
Bryans, 1
Bryant, 1
Bryars, 1
Bryce, 1
Bryde, 1
Brydge, 1
Brymer, 1
Bryom, 1
Bryson, 1
Bubb, 1
Buchan, 1
Buchanan, 1
Buchholz, 1
Buchman, 1
Buck, 1
Buckeridge, 1
Buckhout, 1
Buckingham, 1
Buckle, 1
Buckles, 1
Buckley, 1
Buckman, 1
Buckmaster, 1
Bucknell, 1
Buckner, 1
Buckson, 1
Budd, 1
Budden, 1
Buddle, 1
Budge, 1
Budgeford, 1
Buehl, 1
Buehler, 1
Buell, 1
Buettner, 1
Buff, 1
Buffington, 1
Bufford, 1
Buford, 1
Bufton, 1
Bugg, 1
Buggs, 1
Bugler, 1
Bulford, 1
Bulger, 1
Bulkeley, 1
Bulkely, 1
Bulkley, 1
Bull, 1
Bullard, 1
Bullen, 1
Buller, 1
Bullington, 1
Bullins, 1
Bullis, 1
Bullivant, 1
Bullman, 1
Bullmore, 1
Bulloch, 1
Bullock, 1
Bulman, 1
Bulmer, 1
Bulter, 1
Bulwer, 1
Bumble, 1
Bumgardener, 1
